query,label
best perfume for luxury,DESCRIPTION_BASED
perfume that feels date night,DESCRIPTION_BASED
looking for iris fragrance kinda,NOTE_BASED
incense perfume recs smth,NOTE_BASED
want a warm hug spicy perfume,MIXED
want a expensive leather perfume fr,MIXED
looking for a mysterious perfume with powdery ...,MIXED
want a luxury tobacco perfume !!!,MIXED
want to smell CEO,DESCRIPTION_BASED
want to smell summer vacation idk,DESCRIPTION_BASED
want to smell rainy day,DESCRIPTION_BASED
CEO vibe perfume pls,DESCRIPTION_BASED
want smth apple !!!,NOTE_BASED
looking for a hot girl perfume with jasmine,MIXED
need smth hot girl but also citrus,MIXED
woody but not too strong,NOTE_BASED
summer vacation perfume ideas,DESCRIPTION_BASED
need a scent for office scent but not,DESCRIPTION_BASED
need a scent for hot girl,DESCRIPTION_BASED
main character scent with smoky notes,MIXED
something summer vacation and attractive but not,DESCRIPTION_BASED
tobacco but not too strong,NOTE_BASED
looking for citrus fragrance,NOTE_BASED
looking for amber fragrance,NOTE_BASED
need something luxury but also mint smth,MIXED
want a seductive fresh perfume,MIXED
bad boy perfume ideas,DESCRIPTION_BASED
looking for a rainy day perfume with oud,MIXED
need a scent for hot girl yk,DESCRIPTION_BASED
best coffee scent for winter yk,NOTE_BASED
need something office scent but also citrus but not,MIXED
need a scent for confident,DESCRIPTION_BASED
best smoky scent for winter kinda,NOTE_BASED
looking for a hot girl perfume with powdery,MIXED
office scent scent with jasmine notes,MIXED
something with bergamot and spicy fr,NOTE_BASED
best tobacco scent for winter not too,NOTE_BASED
best amber scent for winter,NOTE_BASED
best bergamot scent for winter,NOTE_BASED
best woody scent for winter,NOTE_BASED
best leather scent for winter tbh,NOTE_BASED
i wanna smell like rainy day,DESCRIPTION_BASED
hot girl and bergamot fragrance ...,MIXED
something with pear and citrus,NOTE_BASED
vampire and oud fragrance,MIXED
want a mysterious cedar perfume pls,MIXED
vampire scent with jasmine notes smth,MIXED
want smth cedar yk,NOTE_BASED
iris but not too strong but not,NOTE_BASED
luxury scent with lavender notes ...,MIXED
best perfume for CEO,DESCRIPTION_BASED
need something rainy day but also jasmine,MIXED
need something luxury but also sandalwood !!!,MIXED
want a mysterious incense perfume,MIXED
date night scent with smoky notes fr,MIXED
best perfume for clean,DESCRIPTION_BASED
gym scent with rose notes idk,MIXED
best bergamot scent for winter fr,NOTE_BASED
expensive perfume ideas,DESCRIPTION_BASED
want a bad boy smoky perfume,MIXED
i wanna smell like expensive but not,DESCRIPTION_BASED
best cedar scent for winter !!!,NOTE_BASED
expensive scent with iris notes,MIXED
perfume that feels masculine,DESCRIPTION_BASED
bad boy and amber fragrance,MIXED
apple but not too strong,NOTE_BASED
love powdery notes,NOTE_BASED
need a scent for expensive ??,DESCRIPTION_BASED
old money perfume ideas tbh,DESCRIPTION_BASED
luxury perfume ideas,DESCRIPTION_BASED
smth warm hug and attractive tbh,DESCRIPTION_BASED
CEO scent with sandalwood notes,MIXED
classy and cedar fragrance,MIXED
want a expensive lavender perfume,MIXED
looking for vanilla fragrance,NOTE_BASED
love coffee notes,NOTE_BASED
vampire perfume ideas tbh,DESCRIPTION_BASED
want a bad boy pear perfume,MIXED
want smth marine but not,NOTE_BASED
i wanna smell like mysterious,DESCRIPTION_BASED
best perfume for bad boy lol,DESCRIPTION_BASED
dark scent with woody notes,MIXED
perfume that feels vampire lol,DESCRIPTION_BASED
want a masculine coffee perfume,MIXED
i wanna smell like confident idk,DESCRIPTION_BASED
elegant scent with patchouli notes !!!,MIXED
sandalwood but not too strong,NOTE_BASED
best oud scent for winter lol,NOTE_BASED
summer vacation and spicy fragrance,MIXED
want a rich fresh perfume,MIXED
perfume that feels dark,DESCRIPTION_BASED
something with apple and tobacco not too,NOTE_BASED
smth with apple and incense fr,NOTE_BASED
want to smell luxury,DESCRIPTION_BASED
love smoky notes,NOTE_BASED
bad boy perfume ideas,DESCRIPTION_BASED
need a coffee perfume,NOTE_BASED
need a spicy perfume,NOTE_BASED
perfume that feels main character fr,DESCRIPTION_BASED
masculine vibe perfume,DESCRIPTION_BASED
iris perfume recs yk,NOTE_BASED
perfume that feels vampire pls,DESCRIPTION_BASED
need a iris perfume yk,NOTE_BASED
i wanna smell like attention grabbing pls,DESCRIPTION_BASED
looking for spicy fragrance !!!,NOTE_BASED
old money scent with pear notes ...,MIXED
something with jasmine and jasmine,NOTE_BASED
best tobacco scent for winter,NOTE_BASED
need something confident but also apple idk,MIXED
love mint notes,NOTE_BASED
need something soft girl but also coconut idk,MIXED
masculine scent with vanilla notes,MIXED
want smth sandalwood lol,NOTE_BASED
looking for spicy fragrance ??,NOTE_BASED
vampire vibe perfume ??,DESCRIPTION_BASED
need a scent for confident,DESCRIPTION_BASED
i wanna smell like confident,DESCRIPTION_BASED
love apple notes,NOTE_BASED
rainy day perfume ideas,DESCRIPTION_BASED
best perfume for bad boy kinda,DESCRIPTION_BASED
looking for a summer vacation perfume with leather lol,MIXED
want a luxury iris perfume,MIXED
i wanna smell like gym,DESCRIPTION_BASED
looking for musk fragrance,NOTE_BASED
dark and citrus fragrance ngl,MIXED
need something summer vacation but also musk,MIXED
seductive vibe perfume,DESCRIPTION_BASED
main character scent with patchouli notes,MIXED
CEO perfume ideas lol,DESCRIPTION_BASED
best spicy scent for winter,NOTE_BASED
pear but not too strong,NOTE_BASED
something soft girl and attractive tbh,DESCRIPTION_BASED
need a fresh perfume ??,NOTE_BASED
smoky perfume recs tbh,NOTE_BASED
i wanna smell like bad boy,DESCRIPTION_BASED
masculine and jasmine fragrance kinda,MIXED
date night perfume ideas kinda,DESCRIPTION_BASED
looking for a ceo perfume with marine idk,MIXED
want a warm hug smoky perfume,MIXED
perfume that feels warm hug,DESCRIPTION_BASED
want smth powdery,NOTE_BASED
hot girl scent with jasmine notes ...,MIXED
looking for a rainy day perfume with mint,MIXED
best amber scent for winter lol,NOTE_BASED
office scent perfume ideas,DESCRIPTION_BASED
clean scent with coffee notes,MIXED
looking for tobacco fragrance idk,NOTE_BASED
need something date night but also vanilla ngl,MIXED
need a musk perfume,NOTE_BASED
need something clean but also bergamot,MIXED
masculine perfume ideas fr,DESCRIPTION_BASED
seductive perfume ideas,DESCRIPTION_BASED
jasmine but not too strong,NOTE_BASED
rainy day and oud fragrance,MIXED
bad boy perfume ideas,DESCRIPTION_BASED
best perfume for masculine,DESCRIPTION_BASED
need a scent for rich but not,DESCRIPTION_BASED
love iris notes,NOTE_BASED
best perfume for luxury tbh,DESCRIPTION_BASED
want smth rose idk,NOTE_BASED
dark perfume ideas fr,DESCRIPTION_BASED
i wanna smell like CEO,DESCRIPTION_BASED
rose but not too strong kinda,NOTE_BASED
i wanna smell like bad boy ngl,DESCRIPTION_BASED
want to smell office scent lol,DESCRIPTION_BASED
perfume that feels classy,DESCRIPTION_BASED
something expensive and attractive,DESCRIPTION_BASED
date night perfume ideas,DESCRIPTION_BASED
love smoky notes,NOTE_BASED
want a hot girl iris perfume,MIXED
looking for a old money perfume with powdery,MIXED
need a leather perfume,NOTE_BASED
masculine and apple fragrance lol,MIXED
need something date night but also tobacco,MIXED
best perfume for confident,DESCRIPTION_BASED
best perfume for rich kinda,DESCRIPTION_BASED
best perfume for attention grabbing !!!,DESCRIPTION_BASED
luxury and spicy fragrance,MIXED
pear but not too strong,NOTE_BASED
love coffee notes,NOTE_BASED
best perfume for feminine idk,DESCRIPTION_BASED
luxury scent with lavender notes,MIXED
vampire vibe perfume,DESCRIPTION_BASED
bad boy vibe perfume idk,DESCRIPTION_BASED
confident scent with jasmine notes fr,MIXED
rainy day and coffee fragrance ngl,MIXED
best oud scent for winter ...,NOTE_BASED
something with iris and mint ??,NOTE_BASED
want a attention grabbing apple perfume pls,MIXED
best perfume for rich,DESCRIPTION_BASED
mysterious vibe perfume pls,DESCRIPTION_BASED
something clean and attractive,DESCRIPTION_BASED
attention grabbing vibe perfume,DESCRIPTION_BASED
want a vampire musk perfume,MIXED
need a scent for rainy day,DESCRIPTION_BASED
office scent perfume ideas kinda,DESCRIPTION_BASED
soft girl and oud fragrance,MIXED
want a bad boy oud perfume !!!,MIXED
summer vacation scent with citrus notes fr,MIXED
perfume that feels seductive,DESCRIPTION_BASED
perfume that feels classy,DESCRIPTION_BASED
need a scent for main character,DESCRIPTION_BASED
summer vacation scent with coffee notes not too,MIXED
want a CEO powdery perfume,MIXED
need something rainy day but also woody ngl,MIXED
need something old money but also lavender pls,MIXED
date night and marine fragrance lol,MIXED
i wanna smell like seductive not too,DESCRIPTION_BASED
best perfume for warm hug lol,DESCRIPTION_BASED
luxury and cedar fragrance,MIXED
best perfume for office scent,DESCRIPTION_BASED
elegant scent with amber notes ??,MIXED
luxury scent with musk notes !!!,MIXED
want to smell dark,DESCRIPTION_BASED
bad boy scent with cedar notes,MIXED
i wanna smell like feminine,DESCRIPTION_BASED
summer vacation vibe perfume,DESCRIPTION_BASED
love fresh notes !!!,NOTE_BASED
smth feminine and attractive tbh,DESCRIPTION_BASED
date night and patchouli fragrance ??,MIXED
love spicy notes yk,NOTE_BASED
love musk notes ngl,NOTE_BASED
looking for cedar fragrance,NOTE_BASED
need something elegant but also musk,MIXED
dark vibe perfume !!!,DESCRIPTION_BASED
want a dark jasmine perfume not too,MIXED
masculine and spicy fragrance,MIXED
need something main character but also marine pls,MIXED
best perfume for rich but not,DESCRIPTION_BASED
perfume that feels warm hug smth,DESCRIPTION_BASED
best perfume for confident but not,DESCRIPTION_BASED
vanilla but not too strong,NOTE_BASED
coffee perfume recs ngl,NOTE_BASED
want a main character marine perfume ...,MIXED
need something elegant but also leather fr,MIXED
best mint scent for winter,NOTE_BASED
something with citrus and patchouli ngl,NOTE_BASED
classy scent with incense notes pls,MIXED
want a vampire lavender perfume,MIXED
rainy day and cedar fragrance,MIXED
want smth musk smth,NOTE_BASED
feminine scent with sandalwood notes ??,MIXED
rich scent with rose notes,MIXED
best perfume for summer vacation,DESCRIPTION_BASED
looking for a soft girl perfume with fresh pls,MIXED
love smoky notes,NOTE_BASED
looking for incense fragrance,NOTE_BASED
smoky but not too strong,NOTE_BASED
amber perfume recs,NOTE_BASED
something seductive and attractive,DESCRIPTION_BASED
want to smell confident ...,DESCRIPTION_BASED
best mint scent for winter,NOTE_BASED
something with apple and mint pls,NOTE_BASED
need a scent for date night fr,DESCRIPTION_BASED
rich and vanilla fragrance,MIXED
need a scent for gym,DESCRIPTION_BASED
looking for woody fragrance pls,NOTE_BASED
need a scent for old money,DESCRIPTION_BASED
something with patchouli and lavender smth,NOTE_BASED
love fresh notes !!!,NOTE_BASED
looking for coffee fragrance,NOTE_BASED
need something rich but also mint smth,MIXED
need a scent for warm hug kinda,DESCRIPTION_BASED
perfume that feels luxury smth,DESCRIPTION_BASED
something with spicy and apple but not,NOTE_BASED
classy and coconut fragrance,MIXED
looking for spicy fragrance pls,NOTE_BASED
smth with leather and musk,NOTE_BASED
confident perfume ideas,DESCRIPTION_BASED
smth with vanilla and pear ngl,NOTE_BASED
looking for a date night perfume with spicy,MIXED
